METADATA.MANAGEMENT,all,,,,,,,,,,,,,,,,,,
rulemaker.entity.name,Inland Revenue Authority of Singapore,,,,,,,,,,,,,,,,,,
rulemaker.entity.id,d6mgsIlDx5ME,,,,,,,,,,,,,,,,,,
rulemaker.entity.url,https://www.iras.gov.sg,,,,,,,,,,,,,,,,,,
rule.name.eng,Additional Buyer’s Stamp Duty on Purchase or Transfer of Residential Property,,,IMPLEMENTATION NOTES,,,,,,,,,,,,,,,
rule.id,r6qW2UeKE5hq,,,METADATA.MANAGEMENT,,,,,,,,,,,,,,,
rule.version,0.2.0,,,This is reference information to uniquely distinguish each rule and provide all essential contact information.This is also useful to support for ad hoc querying of the entire data fabric.,,,,,,,,,,,,,,,
xalgo.version,0.5.0,,,INPUT.SOURCES,,,,,,,,,,,,,,,
rule.criticality,experimental,,,This identifies all sources of data required to run this rule.,,,,,,,,,,,,,,,
rule.url,https://www.iras.gov.sg/IRASHome/Other-Taxes/Stamp-Duty-for-Property/Working-out-your-Stamp-Duty/Buying-or-Acquiring-Property/What-is-the-Duty-that-I-Need-to-Pay-as-a-Buyer-or-Transferee-of-Residential-Property/Additional-Buyer-s-Stamp-Duty--ABSD-,,,INPUT.CONTEXT,,,,,,,,,,,,,,,
rule.manager.name,Joseph Potvin,,,The value “all” signals that all values of the identified fields must be used in a map/reduce process to select this rule as being “in effect”,,,,,,,,,,,,,,,
rule.manager.id,3ErzHgMpIhYI,,,INPUT.FILTERS,,,,,,,,,,,,,,,
rule.manager.email,jpotvin@xalgorithms.org,,,The value “all” signals that all values of the identified fields must be used in a map/reduce process to select this rule as being “applicable”,,,,,,,,,,,,,,,
rule.author.name,Joseph Potvin,,,INPUT.CONDITIONS,,,,,,,,,,,,,,,
rule.author.id,3ErzHgMpIhYI,,,"The values Y (yes), N (no) and H (hyphen, meaning ‘has no effect”) are read column-by-column vertically down by the interpreter, giving results NHH, and YYN, YYY and NNH, corrresponding to the input fields named at left.",,,,,,,,,,,,,,,
rule.author.email,jpotvin@xalgorithms.org,,,OUTPUT.ASSERTIONS,,,,,,,,,,,,,,,
rule.maintainer.name,Ryan Fleck,,,"The values X (asserted), U (unasserted) and H (hyphen: ‘has no effect”) are read vertically dowards based on corresponding combinations of INPUT.CONDITIONS e.g. NHH→UU and YYY→XU , corrresponding to the output fields named at left.",,,,,,,,,,,,,,,
rule.maintainer.id,wVXkRXp1palS,,,OUTPUT.PURPOSE,,,,,,,,,,,,,,,
rule.maintainer.email,ryan.fleck@protonmail.com,,,"This is reference information on the social meaning of each rule, reported back through XalgoRT. This info is also useful to support for ad hoc querying of the entire data fabric.",,,,,,,,,,,,,,,
INPUT.SOURCES,all,,,OUTPUT.WEIGHT,,,,,,,,,,,,,,,
s.1.parameter,is.xalgo,,,"Rules reported back through XalgoRT need to be in some logical order. These proportions x/99 would (eventually) be negotiated, say 1-9; 10-19, ...80-89; 90-99 for the social significance of each class of rule. The ‘rule taker’ retains 100/100. agency in all circumstances (relative to this system).",,,,,,,,,,,,,,,
s.1.value,purchaseorder,,,METADATA.STANDARDS,,,,,,,,,,,,,,,
s.1.notes,,,,Various fields are designed to be conformant with particular standards. This provides a useful reference.,,,,,,,,,,,,,,,
INPUT.CONTEXT,all,,,,,,,,,,,,,,,,,,
jurisdictions.country,SG,,,,,,,,,,,,,,,,,,
jurisdictions.subcountry,SG,,,,,,,,,,,,,,,,,,
date-time-start,2018-04-01 0:00,,,,,,,,,,,,,,,,,,
date-time-end,9999-12-31 23:50,,,,,,,,,,,,,,,,,,
timezone,UTC-05:00,,,,,,,,,,,,,,,,,,
INPUT.FILTERS,all,,,,,,,,,,,,,,,,,,
f.1.parameter,parties.buyer.industry,,,,,,,,,,,,,,,,,,
f.1.value,6810,,,,,,,,,,,,,,,,,,
f.1.notes,Real Estate Activities With Own Or Leased Property,,,,,,,,,,,,,,,,,,
f.2.parameter,item.classification,,,,,,,,,,,,,,,,,,
f.2.value,80131600,,,,,,,,,,,,,,,,,,
f.2.notes,Sale of property and building,,,,,,,,,,,,,,,,,,
f.3.parameter,item.price.currency,,,,,,,,,,,,,,,,,,
f.3.value,SGD,,,,,,,,,,,,,,,,,,
f.3.notes,Singaporean dollar,,,,,,,,,,,,,,,,,,
INPUT.CONDITIONS,one,,Notes,Scenario A,Scenario B,Scenario C,Scenario D,Scenario E,Scenario F,,,,,Scenario A,Scenario B,Scenario C,Scenario D,Scenario E,Scenario F
c.1.parameter,buyer_profile,Sgc-1,"Singapore Citizen, 1st Res. Prpty",Y,N,N,N,N,N,,c.1.parameter,c.1.value,c.1.notes,c.1.1.YNH,c.1.2.YNH,c.1.3.YNH,c.1.4.YNH,c.1.5.YNH,c.1.6.YNH
c.2.parameter,buyer_profile,Sgc-2,"Singapore Citizen, 2nd Res. Prpty",N,Y,N,N,N,N,,c.2.parameter,c.2.value,c.2.notes,c.2.1.YNH,c.2.2.YNH,c.2.3.YNH,c.2.4.YNH,c.2.5.YNH,c.2.6.YNH
c.3.parameter,buyer_profile,Sgc-n,"Singapore Citizen, Addtl Res. Prpty",N,N,Y,N,N,N,,c.3.parameter,c.3.value,c3.notes,c.3.1.YNH,c.3.2.YNH,c.3.3.YNH,c.3.4.YNH,c.3.5.YNH,c.3.6.YNH
c.4.parameter,buyer_profile,Spr-1,"Singapore Perm. Residnt, 1st Res. Prpty",N,N,N,Y,N,N,,c.4.parameter,c.4.value,c3.notes,c.4.1.YNH,c.4.2.YNH,c.4.3.YNH,c.4.4.YNH,c.4.5.YNH,c.4.6.YNH
c.5.parameter,buyer_profile,Spr-n,"Singapore Perm. Residnt, Addtl Res. Prpty",N,N,N,N,Y,N,,c.5.parameter,c.5.value,c3.notes,c.5.1.YNH,c.5.2.YNH,c.5.3.YNH,c.5.4.YNH,c.5.5.YNH,c.5.6.YNH
c.6.parameter,buyer_profile,Sfe-n,"Singapore Foreign Entity, Any Res. Prpty",N,N,N,N,N,Y,,c.6.parameter,c.6.value,c3.notes,c.6.1.YNH,c.6.2.YNH,c.6.3.YNH,c.6.4.YNH,c.6.5.YNH,c.6.6.YNH
OUTPUT.ASSERTIONS,one,,,Outcome A,Outcome B,Outcome C,Outcome D,Outcome E,Outcome F,,,,,Outcome A,Outcome B,Outcome C,Outcome D,Outcome E,Outcome F
a.1.parameter,absd_rate,0*(price),Price from purchase order,X,U,U,U,U,U,,a.1.parameter,a.1.value,a.1.notes,a.1.1.XU,a.1.2.XU,a.1.3.XU,a.1.4.XU,a.1.5.XU,a.1.6.XU
a.2.parameter,absd_rate,0.07*(price),Price from purchase order,U,X,U,U,U,U,,a.2.parameter,a.2.value,a.2.notes,a.2.1.XU,a.2.2.XU,a.2.3.XU,a.2.4.XU,a.2.5.XU,a.2.6.XU
a.3.parameter,absd_rate,0.1*(price),Price from purchase order,U,U,X,U,U,U,,a.3.parameter,a.3.value,a.3.notes,a.3.1.XU,a.3.2.XU,a.3.3.XU,a.3.4.XU,a.3.5.XU,a.3.6.XU
a.4.parameter,absd_rate,0.05*(price),Price from purchase order,U,U,U,X,U,U,,a.4.parameter,a.4.value,a.4.notes,a.4.1.XU,a.4.2.XU,a.4.3.XU,a.4.4.XU,a.4.5.XU,a.4.6.XU
a.5.parameter,absd_rate,0.1*(price),Price from purchase order,U,U,U,U,X,U,,a.5.parameter,a.5.value,a.5.notes,a.5.1.XU,a.5.2.XU,a.5.3.XU,a.5.4.XU,a.5.5.XU,a.5.6.XU
a.6.parameter,absd_rate,0.15*(price),Price from purchase order,U,U,U,U,U,X,,a.6.parameter,a.6.value,a.6.notes,a.6.1.XU,a.6.2.XU,a.6.3.XU,a.6.4.XU,a.6.5.XU,a.6.6.XU
OUTPUT.PURPOSE,all,,,,,,,,,,,,,,,,,,
p.1.parameter,agency.rulemaker_ruletaker_thirdparty,,,,,,,,,,,,,,,,,,
p.1.value,ruletaker,,,,,,,,,,,,,,,,,,
p.1.notes,has responsibility for conformance,,,,,,,,,,,,,,,,,,
p.2.parameter,agency.must_may_should,,,,,,,,,,,,,,,,,,
f.2.value,must,,,,,,,,,,,,,,,,,,
p.2.notes,,,,,,,,,,,,,,,,,,,
p.3.parameter,agency.affirmative_negative_interrogative,,,,,,,,,,,,,,,,,,
f.3.value,affirmative,,,,,,,,,,,,,,,,,,
p.3.notes,,,,,,,,,,,,,,,,,,,
p.4.parameter,agency.be_do_have,,,,,,,,,,,,,,,,,,
p.4.value,do,,,,,,,,,,,,,,,,,,
p.4.notes,,,,,,,,,,,,,,,,,,,
p.5.parameter,intent.logical_practical_ethical,,,,,,,,,,,,,,,,,,
f.5.value,practical,,,,,,,,,,,,,,,,,,
p.5.notes,,,,,,,,,,,,,,,,,,,
p.6.parameter,intent.imperative_declarative_empirical,,,,,,,,,,,,,,,,,,
f.6.value,imperative,,,,,,,,,,,,,,,,,,
p.6.notes,,,,,,,,,,,,,,,,,,,
p.7.parameter,intent.governance_commerce_other,,,,,,,,,,,,,,,,,,
f.7.value,governance,,,,,,,,,,,,,,,,,,
p.7.notes,,,,,,,,,,,,,,,,,,,
OUTPUT.WEIGHT,,,,,,,,,,,,,,,,,,,
w.1.parameter,obligation,,,,,,,,,,,,,,,,,,
w.1.value,70,,,,,,,,,,,,,,,,,,
w.1.notes,of 99 (ruletaker holds 100),,,,,,,,,,,,,,,,,,
w.1.parameter,commitment,,,,,,,,,,,,,,,,,,
w.1.value,60,,,,,,,,,,,,,,,,,,
w.1.notes,of 99 (ruletaker holds 100),,,,,,,,,,,,,,,,,,
w.1.parameter,consequence,,,,,,,,,,,,,,,,,,
w.1.value,15,,,,,,,,,,,,,,,,,,
w.1.notes,of 99 (ruletaker holds 100),,,,,,,,,,,,,,,,,,
METADATA.STANDARDS,all,,,,,,,,,,,,,,,,,,
m.3.fields,parties.buyer.industry,,,,,,,,,,,,,,,,,,
m.1.title.concise,ISIC,,,,,,,,,,,,,,,,,,
m.1.titlefull,International Standard Industrial Classification,,,,,,,,,,,,,,,,,,
m.1.url,https://unstats.un.org/unsd/publication/seriesM/seriesm_4rev4e.pdf|parties.buyer.industry,,,,,,,,,,,,,,,,,,
m.2.fields,item.classification,,,,,,,,,,,,,,,,,,
m.2.title.concise,UNSPSC,,,,,,,,,,,,,,,,,,
m.2.titlefull,United Nations Standard Products and Services Classification,,,,,,,,,,,,,,,,,,
m.2.url,https://www.unspsc.org,,,,,,,,,,,,,,,,,,
m.3.fields,"purchaseorder, invoice, creditnote",,,,,,,,,,,,,,,,,,
m.3.title.concise,UBL,,,,,,,,,,,,,,,,,,
m.3.titlefull,Universal Business Language,,,,,,,,,,,,,,,,,,
m.3.url,https://docs.oasis-open.org/ubl/os-UBL-2.2/mod/summary/reports/All-UBL-2.2-Documents.html,,,,,,,,,,,,,,,,,,
